"Id","Predicted"
5895,12.2
7122,70
6173,39.6
6142,8
5358,39
6095,11.4
6878,1.8
6554,17.4
6793,2.8
7286,33.8
6076,17.8
5134,14.2
5419,29.6
6255,38.2
5656,13.4
6934,39.8
6028,0.599999999999994
6490,27
6415,26
7087,10.6
5420,25.4
5977,18.6
6824,25.8
5207,11.2
7115,36.6
7250,14.4
6010,47.2
6088,7.19999999999999
5682,49.4
7201,49.6
6938,2.60000000000001
6875,12.6
5953,9.2
5942,37.4
5382,3.40000000000001
6377,2.40000000000001
5931,35
5992,8.8
5790,13.6
6753,13.2
6562,6
7046,49.8
5868,15.6
5784,20.4
5878,7.19999999999999
5110,16.2
5210,3.2
7230,3.2
5005,3
6871,22.8
5363,36.8
7253,10.4
6055,28.8
5072,32.4
6913,8
6386,5
5634,42.8
5758,77
6819,4.80000000000001
7088,8
5039,50
5532,7.19999999999999
6037,2.60000000000001
6322,14.2
6887,19.6
6660,28.8
5451,1.8
6014,4.2
5556,25.8
6346,14.2
5850,1.8
5940,2.2
7119,31.6
5253,12.4
6851,37.2
6695,2.40000000000001
6908,49
7255,3.60000000000001
5674,5.60000000000001
6278,43
5486,23.6
5174,24.6
6621,0.599999999999994
6313,5.2
6435,4.2
6970,16.6
6310,4.60000000000001
5932,27.4
6877,4.80000000000001
6763,32.4
7085,50
7049,3.2
6959,26
5214,26.2
6350,8.59999999999999
5063,58
5041,1.8
5086,49.2
6942,2.40000000000001
5270,6.8
6705,7.19999999999999
7051,10.6
6758,11.4
6249,30.6
5808,4.80000000000001
5377,22.2
5446,6.8
5856,2.60000000000001
4986,17.6
7001,7.8
6677,35.4
6665,26
5817,51.4
6984,26.8
6541,4.80000000000001
5117,10.4
6097,58.8
5389,7.39999999999999
7219,5.2
6338,8.8
6922,15.2
5367,15
5638,33
5830,3.40000000000001
5338,39.8
6007,27
6612,54.4
5718,3.8
6104,3.60000000000001
5229,20.6
6625,46.2
5206,6.39999999999999
5963,12.2
4990,2.60000000000001
6641,6.2
5369,49.2
6196,0.599999999999994
5236,18.6
5719,6.59999999999999
5643,23.8
7050,4.80000000000001
6355,10
6688,3
6239,29.2
5531,20
6113,9
7181,38.4
6118,23
7264,5.40000000000001
5343,3.2
5051,4
5779,34.4
6605,8.8
6655,18.2
6534,31.8
5681,31.4
6607,7.39999999999999
6242,2
7242,5.2
7277,29.4
6675,1.59999999999999
5398,35.4
5956,4.40000000000001
5731,69.4
6956,18.8
6437,9
5447,60.2
5973,4.80000000000001
6075,5.80000000000001
5281,29
5103,29
6468,9.8
7209,9.39999999999999
5584,6
4988,71.2
6502,9
5651,1.40000000000001
4962,16.4
5862,6.8
7199,3.40000000000001
6727,41.4
7279,19.4
6544,12.6
5933,5.2
6574,9
6399,1
7187,38
6353,4.2
5043,38.6
5469,41.2
5976,31.6
6059,6.39999999999999
5799,12.6
6147,21.4
6254,33.6
7100,22.8
7147,49.2
5909,2
7037,9
5782,12
6237,69
6552,6.8
7067,14.2
5320,15.8
5930,19.6
6486,49.2
5245,1.8
6643,0.400000000000006
5260,4.40000000000001
5569,40
7110,32.8
7139,11.6
6791,38.4
5360,5.2
5287,60
6553,27.6
7072,6.59999999999999
6044,8.2
5332,0.799999999999997
6866,10.6
6633,19.4
6926,2.8
6442,1.8
5889,6.2
5765,2.8
5124,4.2
5491,57.2
6730,21.2
7151,31.8
5140,34.8
7171,1.40000000000001
6568,32.6
6861,11.4
6855,40.6
7129,7.59999999999999
5384,1.59999999999999
6859,39.6
5772,6.39999999999999
5665,4.2
6495,21.6
5061,11.8
6948,7.59999999999999
5773,21.2
6052,28
6682,57.6
6083,39.2
6962,17.2
5158,36.4
6464,31.8
5172,22
5582,48
6136,56.8
6235,1.8
6508,33.8
4968,34.2
6632,12.6
7195,21.4
5525,39.2
6320,9
6766,25.8
6872,21
5906,12.6
7172,10.4
6571,1.40000000000001
5616,15.4
6312,6.39999999999999
6470,3.40000000000001
5147,24.8
5501,21.2
6436,46.2
5699,23.2
5313,7.19999999999999
6234,1.2
6569,2.8
7202,30
5683,29.2
5034,12.2
5435,0.400000000000006
5815,3
5589,50.8
6746,14.8
6790,15.2
6857,5.60000000000001
6450,3.2
7221,46.4
5527,9.8
5620,7.8
6215,10.2
7167,24
5823,14
6207,4.60000000000001
6932,9
5669,26.4
5154,19.4
7168,2.60000000000001
5585,41
7200,7
6539,0.599999999999994
5774,19.2
6357,17.4
5042,6.39999999999999
5015,29.8
5354,45.8
6054,10.8
7295,9.2
5365,59.2
6755,49.8
5991,76
7035,9
5893,9
7164,24.6
5304,20.2
5561,36.8
5520,3
5241,29.2
7096,9.8
6078,7.59999999999999
5046,60.2
5334,34.8
6969,8.39999999999999
6821,10.2
5760,24.6
5614,34.2
7091,23.2
5698,5.2
5169,53.4
7294,8.59999999999999
5318,59.4
5368,6.2
6923,6.2
5463,4.40000000000001
5265,5.80000000000001
6321,25.2
5226,35.4
6868,30.6
4967,2.60000000000001
5293,36.8
5865,29.8
5841,1.40000000000001
5526,10
6852,2.2
6469,15
6168,2.60000000000001
7292,9.2
5036,23.4
5644,37.4
6856,42.8
5428,4.2
5027,14.4
4989,18.4
5221,4.40000000000001
6402,12.8
5346,12.8
6748,9.59999999999999
